birth,death
-10.440306663513184,inf
-10.099504470825195,inf
-10.049875259399414,-9.486832618713379
-10,-9.05538558959961
-10,4.242640495300293
-9.899495124816895,inf
-9.899495124816895,1
-9.848857879638672,inf
-9.69536018371582,-9.643651008605957
-9.69536018371582,-9.05538558959961
-9.69536018371582,-4.123105525970459
-9.643651008605957,-1.4142135381698608
-9.486832618713379,inf
-9.486832618713379,-5.916079998016357
-9.433980941772461,inf
-9.433980941772461,inf
-9.433980941772461,-2.4494898319244385
-9.433980941772461,-1
-9.433980941772461,1.7320507764816284
-9.433980941772461,2
-9.273618698120117,inf
-9.219544410705566,inf
-9.219544410705566,inf
-9.165151596069336,-3.605551242828369
-9.165151596069336,-1.7320507764816284
-9.165151596069336,-1.7320507764816284
-9.110433578491211,inf
-9.110433578491211,-8.83176040649414
-9.110433578491211,-4.898979663848877
-9.05538558959961,inf
-9,-8.774964332580566
-9,-8.306623458862305
-9,-4.898979663848877
-9,-3.7416574954986572
-9,-3.7416574954986572
-9,-3.605551242828369
-9,-3.1622776985168457
-9,1.4142135381698608
-9,2
-9,4.4721360206604
-9,4.582575798034668
-9,5.74456262588501
-8.9442720413208,inf
-8.9442720413208,-8.83176040649414
-8.9442720413208,-8.83176040649414
-8.9442720413208,-8.774964332580566
-8.9442720413208,-8.66025447845459
-8.9442720413208,-4.242640495300293
-8.9442720413208,-4
-8.9442720413208,2.4494898319244385
-8.9442720413208,2.8284270763397217
-8.9442720413208,3.605551242828369
-8.83176040649414,inf
-8.83176040649414,inf
-8.83176040649414,-8.774964332580566
-8.83176040649414,-8.485280990600586
-8.83176040649414,-7.874007701873779
-8.774964332580566,inf
-8.774964332580566,-8.717798233032227
-8.774964332580566,-8.602325439453125
-8.774964332580566,-8.602325439453125
-8.774964332580566,-6.324555397033691
-8.774964332580566,-6.164413928985596
-8.774964332580566,-4
-8.774964332580566,-3.1622776985168457
-8.774964332580566,-2.2360680103302
-8.774964332580566,2
-8.774964332580566,3.605551242828369
-8.774964332580566,3.605551242828369
-8.774964332580566,4.123105525970459
-8.774964332580566,7.071067810058594
-8.774964332580566,12.806248664855957
-8.717798233032227,-6.480740547180176
-8.66025447845459,inf
-8.66025447845459,inf
-8.66025447845459,inf
-8.66025447845459,-8.602325439453125
-8.66025447845459,-8.5440034866333
-8.66025447845459,-8.124038696289063
-8.66025447845459,-2.2360680103302
-8.66025447845459,1
-8.66025447845459,1
-8.66025447845459,3
-8.66025447845459,3.464101552963257
-8.66025447845459,10.24695110321045
-8.602325439453125,inf
-8.602325439453125,inf
-8.602325439453125,-8.5440034866333
-8.602325439453125,-8.5440034866333
-8.602325439453125,-8.485280990600586
-8.602325439453125,-8.485280990600586
-8.602325439453125,-8.366600036621094
-8.602325439453125,-8.306623458862305
-8.602325439453125,-8
-8.602325439453125,-6.480740547180176
-8.602325439453125,-6.324555397033691
-8.602325439453125,-5.74456262588501
-8.602325439453125,-4.123105525970459
-8.602325439453125,-4.123105525970459
-8.602325439453125,-3.1622776985168457
-8.602325439453125,-3
-8.602325439453125,-2.4494898319244385
-8.602325439453125,-2
-8.602325439453125,-2
-8.602325439453125,2
-8.602325439453125,3
-8.602325439453125,3
-8.602325439453125,3.464101552963257
-8.5440034866333,inf
-8.5440034866333,inf
-8.5440034866333,inf
-8.5440034866333,inf
-8.5440034866333,-8.124038696289063
-8.5440034866333,-8.062257766723633
