birth,death
-9.433980941772461,inf
-9.110433578491211,-1
-9,-2.8284270763397217
-8.602325439453125,-3.316624879837036
-8.602325439453125,-3.1622776985168457
-8.602325439453125,-1
-8.485280990600586,-3.605551242828369
-8.366600036621094,-4.123105525970459
-8.366600036621094,-1
-8.306623458862305,-8.246211051940918
-8.246211051940918,inf
-8.246211051940918,-8.185352325439453
-8.185352325439453,2
-8.124038696289063,-8.062257766723633
-8.124038696289063,-4.123105525970459
-8.124038696289063,2.2360680103302
-8.124038696289063,3.605551242828369
-8.124038696289063,5.385164737701416
-8.124038696289063,7.071067810058594
-8.062257766723633,inf
-8.062257766723633,inf
-8.062257766723633,inf
-8.062257766723633,-8
-8.062257766723633,-7.348469257354736
-8.062257766723633,-4.123105525970459
-8.062257766723633,-3.605551242828369
-8.062257766723633,-3.316624879837036
-8.062257766723633,-3
-8.062257766723633,-1.4142135381698608
-8.062257766723633,-1
-8.062257766723633,1
-8.062257766723633,2.8284270763397217
-8.062257766723633,4.358899116516113
-8.062257766723633,8.185352325439453
-8,inf
-8,inf
-8,-7.874007701873779
-8,-2.4494898319244385
-8,-1.7320507764816284
-8,1.4142135381698608
-7.874007701873779,inf
-7.874007701873779,inf
-7.874007701873779,inf
-7.874007701873779,inf
-7.874007701873779,inf
-7.874007701873779,inf
-7.874007701873779,inf
-7.874007701873779,-7.681145668029785
-7.874007701873779,-7.6157732009887695
-7.874007701873779,-7.6157732009887695
-7.874007701873779,-7.549834251403809
-7.874007701873779,-7.549834251403809
-7.874007701873779,-2.8284270763397217
-7.8102498054504395,inf
-7.8102498054504395,inf
-7.8102498054504395,inf
-7.8102498054504395,inf
-7.8102498054504395,inf
-7.8102498054504395,inf
-7.8102498054504395,-7.681145668029785
-7.8102498054504395,-7.681145668029785
-7.8102498054504395,-7.141428470611572
-7.8102498054504395,-7.071067810058594
-7.8102498054504395,-5.4772257804870605
-7.8102498054504395,-4.4721360206604
-7.8102498054504395,-4.242640495300293
-7.8102498054504395,-3.7416574954986572
-7.8102498054504395,-3.7416574954986572
-7.8102498054504395,-3.7416574954986572
-7.8102498054504395,-3.605551242828369
-7.8102498054504395,-3.464101552963257
-7.8102498054504395,-3.316624879837036
-7.8102498054504395,-3
-7.8102498054504395,-2
-7.8102498054504395,-1
-7.8102498054504395,1
-7.8102498054504395,1.4142135381698608
-7.8102498054504395,1.4142135381698608
-7.8102498054504395,2.2360680103302
-7.8102498054504395,3.316624879837036
-7.8102498054504395,3.605551242828369
-7.681145668029785,-7.549834251403809
-7.681145668029785,-7.549834251403809
-7.681145668029785,-7.071067810058594
-7.681145668029785,-7
-7.681145668029785,-4.898979663848877
-7.681145668029785,-4.582575798034668
-7.681145668029785,-4.4721360206604
