birth,death
-9.899495124816895,inf
-9.539392471313477,4.4721360206604
-9.486832618713379,-1
-9.273618698120117,1.4142135381698608
-9.165151596069336,1
-9.110433578491211,-1
-9.05538558959961,-3.316624879837036
-9.05538558959961,2.2360680103302
-9.05538558959961,5
-9,-2.8284270763397217
-9,3.316624879837036
-9,3.316624879837036
-9,4.123105525970459
-8.9442720413208,-1.4142135381698608
-8.9442720413208,1.4142135381698608
-8.83176040649414,-2.2360680103302
-8.774964332580566,inf
-8.774964332580566,-4.898979663848877
-8.774964332580566,-1
-8.774964332580566,-1
-8.774964332580566,-1
-8.774964332580566,12.041594505310059
-8.717798233032227,-1
-8.66025447845459,inf
-8.66025447845459,-8.602325439453125
-8.66025447845459,-2.4494898319244385
-8.66025447845459,-1.4142135381698608
-8.602325439453125,inf
-8.602325439453125,-8.485280990600586
-8.602325439453125,-6.324555397033691
-8.602325439453125,-3.7416574954986572
-8.602325439453125,-3.605551242828369
-8.602325439453125,-3
-8.602325439453125,-1.4142135381698608
-8.602325439453125,-1.4142135381698608
-8.602325439453125,-1
-8.602325439453125,2
-8.602325439453125,2.2360680103302
-8.602325439453125,5.385164737701416
-8.602325439453125,6.082762718200684
-8.5440034866333,inf
-8.5440034866333,-8.485280990600586
-8.5440034866333,-8.485280990600586
-8.5440034866333,-8.485280990600586
-8.5440034866333,-8.366600036621094
-8.5440034866333,-8.246211051940918
-8.5440034866333,-8.062257766723633
-8.5440034866333,-7.348469257354736
-8.5440034866333,-4.4721360206604
-8.5440034866333,-4.123105525970459
-8.5440034866333,6.7082037925720215
-8.485280990600586,-8.306623458862305
-8.485280990600586,-8
-8.485280990600586,-6.4031243324279785
-8.485280990600586,-5
-8.485280990600586,-1.4142135381698608
-8.485280990600586,3.1622776985168457
-8.485280990600586,3.605551242828369
-8.485280990600586,3.7416574954986572
-8.485280990600586,4.123105525970459
-8.485280990600586,5.385164737701416
-8.366600036621094,inf
-8.366600036621094,-8.246211051940918
-8.366600036621094,-7
-8.366600036621094,-6.557438373565674
-8.366600036621094,-3
-8.366600036621094,5
-8.366600036621094,6
-8.306623458862305,inf
-8.306623458862305,inf
-8.306623458862305,-8.246211051940918
-8.306623458862305,-8.246211051940918
-8.306623458862305,-8.246211051940918
-8.306623458862305,-8.246211051940918
-8.306623458862305,-7.874007701873779
-8.306623458862305,-7.874007701873779
-8.306623458862305,-7.348469257354736
-8.306623458862305,-7.280109882354736
-8.306623458862305,-6.480740547180176
-8.306623458862305,-5
-8.306623458862305,-1.7320507764816284
-8.306623458862305,-1
-8.306623458862305,-1
-8.306623458862305,1.4142135381698608
-8.306623458862305,1.4142135381698608
-8.306623458862305,2.2360680103302
-8.306623458862305,2.4494898319244385
-8.306623458862305,6.082762718200684
-8.246211051940918,inf
-8.246211051940918,inf
-8.246211051940918,-8.185352325439453
-8.246211051940918,-8.124038696289063
-8.246211051940918,-6.4031243324279785
-8.246211051940918,-6.324555397033691
-8.246211051940918,-2.4494898319244385
-8.246211051940918,-1
-8.246211051940918,-1
-8.246211051940918,3
-8.246211051940918,4.242640495300293
-8.246211051940918,5.830951690673828
-8.246211051940918,6.082762718200684
-8.246211051940918,7.280109882354736
-8.185352325439453,inf
-8.185352325439453,-4.123105525970459
-8.185352325439453,-1.4142135381698608
-8.185352325439453,-1
-8.185352325439453,-1
-8.124038696289063,inf
-8.124038696289063,inf
-8.124038696289063,inf
-8.124038696289063,-8.062257766723633
-8.124038696289063,-8.062257766723633
-8.124038696289063,-8.062257766723633
-8.124038696289063,-8.062257766723633
-8.124038696289063,-8.062257766723633
-8.124038696289063,-8.062257766723633
-8.124038696289063,-8.062257766723633
-8.124038696289063,-8.062257766723633
-8.124038696289063,-8
-8.124038696289063,-7.874007701873779
-8.124038696289063,-7.874007701873779
-8.124038696289063,-7.874007701873779
-8.124038696289063,-7.874007701873779
-8.124038696289063,-7.874007701873779
-8.124038696289063,-7.8102498054504395
-8.124038696289063,-7.681145668029785
-8.124038696289063,-7.6157732009887695
-8.124038696289063,-7.549834251403809
-8.124038696289063,-6.164413928985596
-8.124038696289063,-6.164413928985596
-8.124038696289063,-5.4772257804870605
-8.124038696289063,-5.099019527435303
-8.124038696289063,-4.4721360206604
-8.124038696289063,-3.605551242828369
-8.124038696289063,-3.316624879837036
-8.124038696289063,-3
-8.124038696289063,-2.8284270763397217
-8.124038696289063,-2.8284270763397217
-8.124038696289063,-2.2360680103302
-8.124038696289063,-2
-8.124038696289063,-1.7320507764816284
-8.124038696289063,-1.4142135381698608
-8.124038696289063,-1.4142135381698608
-8.124038696289063,1
-8.124038696289063,1.4142135381698608
-8.124038696289063,3.7416574954986572
-8.124038696289063,4.242640495300293
-8.124038696289063,4.4721360206604
-8.124038696289063,6.164413928985596
-8.124038696289063,11.532562255859375
-8.062257766723633,inf
-8.062257766723633,inf
-8.062257766723633,inf
-8.062257766723633,inf
-8.062257766723633,inf
-8.062257766723633,inf
-8.062257766723633,inf
-8.062257766723633,inf
-8.062257766723633,inf
-8.062257766723633,-8
-8.062257766723633,-8
-8.062257766723633,-8
-8.062257766723633,-8
-8.062257766723633,-8
-8.062257766723633,-7.874007701873779
-8.062257766723633,-7.874007701873779
-8.062257766723633,-7.874007701873779
-8.062257766723633,-7.874007701873779
-8.062257766723633,-7.874007701873779
-8.062257766723633,-7.874007701873779
-8.062257766723633,-7.874007701873779
-8.062257766723633,-7.874007701873779
-8.062257766723633,-7.874007701873779
-8.062257766723633,-7.8102498054504395
-8.062257766723633,-7.8102498054504395
-8.062257766723633,-7.8102498054504395
-8.062257766723633,-7.8102498054504395
-8.062257766723633,-7.8102498054504395
-8.062257766723633,-7.681145668029785
-8.062257766723633,-7.6157732009887695
-8.062257766723633,-7.348469257354736
-8.062257766723633,-7.348469257354736
-8.062257766723633,-7.348469257354736
-8.062257766723633,-6.928203105926514
-8.062257766723633,-6.78233003616333
-8.062257766723633,-6.633249759674072
-8.062257766723633,-5.385164737701416
-8.062257766723633,-5.099019527435303
-8.062257766723633,-5
-8.062257766723633,-4
-8.062257766723633,-3.605551242828369
-8.062257766723633,-2.8284270763397217
-8.062257766723633,-2.4494898319244385
-8.062257766723633,-2.4494898319244385
-8.062257766723633,-2.2360680103302
-8.062257766723633,-2
-8.062257766723633,-2
-8.062257766723633,-1.4142135381698608
-8.062257766723633,-1
-8.062257766723633,-1
-8.062257766723633,1
-8.062257766723633,2.2360680103302
-8.062257766723633,2.8284270763397217
-8.062257766723633,3
-8.062257766723633,3.316624879837036
-8.062257766723633,3.464101552963257
-8.062257766723633,3.7416574954986572
-8.062257766723633,5.099019527435303
-8.062257766723633,5.196152210235596
-8.062257766723633,5.4772257804870605
-8.062257766723633,6.480740547180176
-8.062257766723633,7.8102498054504395
-8.062257766723633,10.099504470825195
-8,inf
-8,inf
-8,inf
-8,inf
-8,inf
-8,inf
-8,-7.874007701873779
-8,-7.874007701873779
-8,-7.874007701873779
-8,-7.211102485656738
-8,-7.071067810058594
-8,-7.071067810058594
-8,-6
-8,-5.4772257804870605
-8,-3
-8,-2.8284270763397217
-8,-1.7320507764816284
-8,-1.4142135381698608
-8,2
-8,3
-8,5.099019527435303
-8,6.164413928985596
-7.874007701873779,inf
-7.874007701873779,inf
-7.874007701873779,inf
-7.874007701873779,inf
-7.874007701873779,inf
-7.874007701873779,inf
-7.874007701873779,inf
-7.874007701873779,inf
-7.874007701873779,inf
-7.874007701873779,-7.8102498054504395
-7.874007701873779,-7.8102498054504395
-7.874007701873779,-7.8102498054504395
-7.874007701873779,-7.8102498054504395
-7.874007701873779,-7.8102498054504395
-7.874007701873779,-7.8102498054504395
-7.874007701873779,-7.8102498054504395
-7.874007701873779,-7.8102498054504395
-7.874007701873779,-7.8102498054504395
-7.874007701873779,-7.8102498054504395
-7.874007701873779,-7.8102498054504395
-7.874007701873779,-7.8102498054504395
-7.874007701873779,-7.8102498054504395
-7.874007701873779,-7.681145668029785
-7.874007701873779,-7.681145668029785
-7.874007701873779,-7.681145668029785
-7.874007701873779,-7.549834251403809
-7.874007701873779,-7.549834251403809
-7.874007701873779,-7.549834251403809
-7.874007701873779,-7.549834251403809
-7.874007701873779,-7.549834251403809
-7.874007701873779,-7.4833149909973145
-7.874007701873779,-7.348469257354736
-7.874007701873779,-7.348469257354736
-7.874007701873779,-7.280109882354736
-7.874007701873779,-7.280109882354736
-7.874007701873779,-7.280109882354736
-7.874007701873779,-7
-7.874007701873779,-6.928203105926514
-7.874007701873779,-6.78233003616333
-7.874007701873779,-6.7082037925720215
-7.874007701873779,-6.480740547180176
-7.874007701873779,-6.4031243324279785
-7.874007701873779,-6.4031243324279785
-7.874007701873779,-6.4031243324279785
-7.874007701873779,-5.916079998016357
-7.874007701873779,-5.099019527435303
-7.874007701873779,-5
-7.874007701873779,-4.582575798034668
-7.874007701873779,-4.242640495300293
-7.874007701873779,-4.123105525970459
-7.874007701873779,-4.123105525970459
-7.874007701873779,-3
-7.874007701873779,-2.4494898319244385
-7.874007701873779,-2.2360680103302
-7.874007701873779,-2
-7.874007701873779,-2
-7.874007701873779,-1.4142135381698608
-7.874007701873779,-1.4142135381698608
-7.874007701873779,-1.4142135381698608
-7.874007701873779,-1
-7.874007701873779,1
-7.874007701873779,1.4142135381698608
-7.874007701873779,3.316624879837036
-7.874007701873779,4.123105525970459
-7.874007701873779,4.242640495300293
-7.874007701873779,4.242640495300293
-7.874007701873779,5.099019527435303
-7.874007701873779,5.099019527435303
-7.874007701873779,6.4031243324279785
-7.874007701873779,6.480740547180176
-7.8102498054504395,inf
-7.8102498054504395,inf
-7.8102498054504395,inf
-7.8102498054504395,inf
-7.8102498054504395,inf
-7.8102498054504395,inf
-7.8102498054504395,inf
-7.8102498054504395,inf
-7.8102498054504395,inf
-7.8102498054504395,-7.681145668029785
-7.8102498054504395,-7.681145668029785
-7.8102498054504395,-7.681145668029785
-7.8102498054504395,-7.681145668029785
-7.8102498054504395,-7.681145668029785
-7.8102498054504395,-7.681145668029785
-7.8102498054504395,-7.6157732009887695
-7.8102498054504395,-7.6157732009887695
-7.8102498054504395,-7.549834251403809
-7.8102498054504395,-7.549834251403809
-7.8102498054504395,-7.549834251403809
-7.8102498054504395,-7.549834251403809
-7.8102498054504395,-7.4833149909973145
-7.8102498054504395,-7.348469257354736
-7.8102498054504395,-7.280109882354736
-7.8102498054504395,-7.211102485656738
-7.8102498054504395,-7.071067810058594
-7.8102498054504395,-7.071067810058594
-7.8102498054504395,-7.071067810058594
-7.8102498054504395,-7
-7.8102498054504395,-7
-7.8102498054504395,-6.78233003616333
-7.8102498054504395,-6.7082037925720215
-7.8102498054504395,-6.633249759674072
-7.8102498054504395,-6.324555397033691
-7.8102498054504395,-6.324555397033691
-7.8102498054504395,-5.74456262588501
-7.8102498054504395,-5.385164737701416
-7.8102498054504395,-5.099019527435303
-7.8102498054504395,-4.582575798034668
-7.8102498054504395,-3.1622776985168457
-7.8102498054504395,-3.1622776985168457
-7.8102498054504395,-3
-7.8102498054504395,-2.4494898319244385
-7.8102498054504395,-2.2360680103302
-7.8102498054504395,-2.2360680103302
-7.8102498054504395,-1.4142135381698608
-7.8102498054504395,-1
-7.8102498054504395,-1
-7.8102498054504395,1
-7.8102498054504395,1
-7.8102498054504395,1
-7.8102498054504395,2
-7.8102498054504395,2.2360680103302
-7.8102498054504395,3.316624879837036
-7.8102498054504395,3.605551242828369
-7.8102498054504395,4
-7.8102498054504395,4.358899116516113
-7.8102498054504395,4.4721360206604
-7.8102498054504395,4.582575798034668
-7.8102498054504395,4.690415859222412
-7.8102498054504395,4.690415859222412
-7.8102498054504395,5.099019527435303
-7.8102498054504395,5.099019527435303
-7.8102498054504395,5.385164737701416
-7.8102498054504395,5.74456262588501
-7.8102498054504395,5.74456262588501
-7.8102498054504395,6.4031243324279785
-7.8102498054504395,7.4833149909973145
-7.8102498054504395,8.062257766723633
-7.8102498054504395,8.124038696289063
-7.8102498054504395,12.041594505310059
-7.681145668029785,inf
-7.681145668029785,inf
-7.681145668029785,inf
-7.681145668029785,inf
-7.681145668029785,inf
-7.681145668029785,inf
-7.681145668029785,inf
-7.681145668029785,inf
-7.681145668029785,inf
-7.681145668029785,inf
-7.681145668029785,inf
-7.681145668029785,inf
-7.681145668029785,-7.6157732009887695
-7.681145668029785,-7.6157732009887695
-7.681145668029785,-7.6157732009887695
-7.681145668029785,-7.6157732009887695
-7.681145668029785,-7.6157732009887695
-7.681145668029785,-7.6157732009887695
-7.681145668029785,-7.6157732009887695
-7.681145668029785,-7.6157732009887695
-7.681145668029785,-7.549834251403809
-7.681145668029785,-7.549834251403809
-7.681145668029785,-7.549834251403809
-7.681145668029785,-7.549834251403809
-7.681145668029785,-7.549834251403809
-7.681145668029785,-7.549834251403809
-7.681145668029785,-7.4833149909973145
-7.681145668029785,-7.4833149909973145
-7.681145668029785,-7.4833149909973145
-7.681145668029785,-7.4833149909973145
-7.681145668029785,-7.4833149909973145
-7.681145668029785,-7.348469257354736
-7.681145668029785,-7.348469257354736
-7.681145668029785,-7.348469257354736
-7.681145668029785,-7.348469257354736
-7.681145668029785,-7.280109882354736
-7.681145668029785,-7.280109882354736
-7.681145668029785,-7.280109882354736
-7.681145668029785,-7.211102485656738
-7.681145668029785,-7.141428470611572
-7.681145668029785,-7.071067810058594
-7.681145668029785,-7
-7.681145668029785,-7
-7.681145668029785,-6.78233003616333
-7.681145668029785,-6.7082037925720215
-7.681145668029785,-6.557438373565674
-7.681145668029785,-6.480740547180176
-7.681145668029785,-6.4031243324279785
-7.681145668029785,-6.082762718200684
-7.681145668029785,-6.082762718200684
-7.681145668029785,-6.082762718200684
-7.681145668029785,-6
-7.681145668029785,-5.656854152679443
-7.681145668029785,-5.4772257804870605
-7.681145668029785,-5.4772257804870605
-7.681145668029785,-5.196152210235596
-7.681145668029785,-4.582575798034668
-7.681145668029785,-4.123105525970459
-7.681145668029785,-4.123105525970459
-7.681145668029785,-4.123105525970459
-7.681145668029785,-3.464101552963257
-7.681145668029785,-3
-7.681145668029785,-3
-7.681145668029785,-2.4494898319244385
-7.681145668029785,-2.2360680103302
-7.681145668029785,-1.4142135381698608
-7.681145668029785,-1
-7.681145668029785,-1
-7.681145668029785,1
-7.681145668029785,1
-7.681145668029785,1
-7.681145668029785,1.7320507764816284
-7.681145668029785,2
-7.681145668029785,2
-7.681145668029785,3.605551242828369
-7.681145668029785,3.7416574954986572
-7.681145668029785,4.123105525970459
-7.681145668029785,4.690415859222412
-7.681145668029785,4.898979663848877
-7.681145668029785,5
-7.681145668029785,5
-7.681145668029785,5.196152210235596
-7.681145668029785,6
-7.681145668029785,6.324555397033691
-7.681145668029785,8.66025447845459
-7.6157732009887695,inf
-7.6157732009887695,inf
-7.6157732009887695,inf
-7.6157732009887695,-7.549834251403809
-7.6157732009887695,-7.549834251403809
-7.6157732009887695,-7.549834251403809
-7.6157732009887695,-7.549834251403809
-7.6157732009887695,-7.549834251403809
-7.6157732009887695,-7.549834251403809
-7.6157732009887695,-7.549834251403809
-7.6157732009887695,-7.549834251403809
-7.6157732009887695,-7.549834251403809
-7.6157732009887695,-7.549834251403809
-7.6157732009887695,-7.4833149909973145
-7.6157732009887695,-7.4833149909973145
-7.6157732009887695,-7.348469257354736
-7.6157732009887695,-7.348469257354736
-7.6157732009887695,-7.348469257354736
-7.6157732009887695,-7.348469257354736
-7.6157732009887695,-7.348469257354736
-7.6157732009887695,-7.348469257354736
-7.6157732009887695,-7.348469257354736
-7.6157732009887695,-7.071067810058594
-7.6157732009887695,-6.164413928985596
-7.6157732009887695,-6.082762718200684
-7.6157732009887695,-5.4772257804870605
-7.6157732009887695,-5.4772257804870605
-7.6157732009887695,-5.385164737701416
-7.6157732009887695,-5.196152210235596
-7.6157732009887695,-4.690415859222412
-7.6157732009887695,-4
-7.6157732009887695,-3.464101552963257
-7.6157732009887695,-3.316624879837036
-7.6157732009887695,-3.1622776985168457
-7.6157732009887695,-3.1622776985168457
-7.6157732009887695,-3
-7.6157732009887695,-1.4142135381698608
-7.6157732009887695,-1.4142135381698608
-7.6157732009887695,-1
-7.6157732009887695,-1
-7.6157732009887695,1
-7.6157732009887695,2
-7.6157732009887695,2.2360680103302
-7.6157732009887695,3
-7.6157732009887695,3.1622776985168457
-7.6157732009887695,3.605551242828369
-7.6157732009887695,4.898979663848877
-7.6157732009887695,4.898979663848877
-7.6157732009887695,5.830951690673828
-7.6157732009887695,6
-7.6157732009887695,7.141428470611572
-7.549834251403809,inf
-7.549834251403809,inf
-7.549834251403809,inf
-7.549834251403809,inf
-7.549834251403809,inf
-7.549834251403809,inf
-7.549834251403809,-7.4833149909973145
-7.549834251403809,-7.4833149909973145
-7.549834251403809,-7.4833149909973145
-7.549834251403809,-7.4833149909973145
-7.549834251403809,-7.4833149909973145
-7.549834251403809,-7.4833149909973145
-7.549834251403809,-7.4833149909973145
-7.549834251403809,-7.4833149909973145
-7.549834251403809,-7.4833149909973145
-7.549834251403809,-7.348469257354736
-7.549834251403809,-7.348469257354736
-7.549834251403809,-7.348469257354736
-7.549834251403809,-7.348469257354736
-7.549834251403809,-7.280109882354736
-7.549834251403809,-7.280109882354736
-7.549834251403809,-7.280109882354736
-7.549834251403809,-7.141428470611572
-7.549834251403809,-7.071067810058594
-7.549834251403809,-7.071067810058594
-7.549834251403809,-7
-7.549834251403809,-7
-7.549834251403809,-7
-7.549834251403809,-6.7082037925720215
-7.549834251403809,-6.633249759674072
-7.549834251403809,-6.557438373565674
-7.549834251403809,-6.557438373565674
-7.549834251403809,-6.4031243324279785
-7.549834251403809,-6.324555397033691
-7.549834251403809,-6.324555397033691
-7.549834251403809,-6.082762718200684
-7.549834251403809,-5.74456262588501
-7.549834251403809,-5.099019527435303
-7.549834251403809,-5
-7.549834251403809,-5
-7.549834251403809,-4.358899116516113
-7.549834251403809,-4.123105525970459
-7.549834251403809,-3
-7.549834251403809,-2.4494898319244385
-7.549834251403809,-2.4494898319244385
-7.549834251403809,-2.2360680103302
-7.549834251403809,-2
-7.549834251403809,-1.7320507764816284
-7.549834251403809,-1.4142135381698608
-7.549834251403809,-1.4142135381698608
-7.549834251403809,-1.4142135381698608
-7.549834251403809,-1
-7.549834251403809,1
-7.549834251403809,1.7320507764816284
-7.549834251403809,1.7320507764816284
-7.549834251403809,2.2360680103302
-7.549834251403809,2.4494898319244385
-7.549834251403809,3.464101552963257
-7.549834251403809,3.7416574954986572
-7.549834251403809,3.7416574954986572
-7.549834251403809,4.358899116516113
-7.549834251403809,4.582575798034668
-7.549834251403809,5.74456262588501
-7.4833149909973145,inf
-7.4833149909973145,inf
-7.4833149909973145,-7.348469257354736
-7.4833149909973145,-7.348469257354736
-7.4833149909973145,-7.348469257354736
-7.4833149909973145,-7.348469257354736
-7.4833149909973145,-7.348469257354736
