birth,death
-10.630146026611328,inf
-9.899495124816895,5.099019527435303
-9.433980941772461,-1
-9.273618698120117,-8.774964332580566
-9.219544410705566,inf
-9.219544410705566,-5.4772257804870605
-9.165151596069336,8.602325439453125
-9.110433578491211,-8.774964332580566
-9.05538558959961,inf
-9.05538558959961,-2
-9.05538558959961,4.242640495300293
-9,inf
-9,1.4142135381698608
-8.83176040649414,-2
-8.774964332580566,inf
-8.774964332580566,-2.2360680103302
-8.774964332580566,1.4142135381698608
-8.66025447845459,-8.602325439453125
-8.66025447845459,-8.602325439453125
-8.66025447845459,-7
-8.66025447845459,-6.082762718200684
-8.602325439453125,inf
-8.602325439453125,-8.5440034866333
-8.602325439453125,-8.5440034866333
-8.602325439453125,-8.485280990600586
-8.602325439453125,-8.124038696289063
-8.602325439453125,-3.1622776985168457
-8.602325439453125,-2.2360680103302
-8.602325439453125,-1.7320507764816284
-8.602325439453125,-1.4142135381698608
-8.602325439453125,-1
-8.602325439453125,1
-8.5440034866333,inf
-8.5440034866333,-8.485280990600586
-8.5440034866333,-1
-8.485280990600586,-1.7320507764816284
-8.485280990600586,4.123105525970459
-8.366600036621094,-8.306623458862305
-8.366600036621094,-7.071067810058594
-8.366600036621094,1
-8.306623458862305,-8.246211051940918
-8.306623458862305,-8.246211051940918
-8.306623458862305,-7.348469257354736
-8.306623458862305,1.7320507764816284
-8.306623458862305,2
-8.306623458862305,2.2360680103302
-8.246211051940918,inf
-8.246211051940918,-8.124038696289063
-8.246211051940918,-8.124038696289063
-8.246211051940918,-8.124038696289063
-8.246211051940918,-3.605551242828369
-8.246211051940918,-3
-8.246211051940918,-2
-8.246211051940918,-1
-8.185352325439453,-8.124038696289063
-8.185352325439453,-6.082762718200684
-8.124038696289063,-8.062257766723633
-8.124038696289063,-7.874007701873779
-8.124038696289063,-7.6157732009887695
-8.124038696289063,-7.4833149909973145
-8.124038696289063,-7.348469257354736
-8.124038696289063,-7.280109882354736
-8.124038696289063,-6.480740547180176
-8.124038696289063,-6.082762718200684
-8.124038696289063,-6
-8.124038696289063,-5.916079998016357
-8.124038696289063,-5.656854152679443
-8.124038696289063,-3
-8.124038696289063,-2.2360680103302
-8.124038696289063,-2.2360680103302
-8.124038696289063,-1.7320507764816284
-8.124038696289063,-1.4142135381698608
-8.124038696289063,5.4772257804870605
-8.124038696289063,5.74456262588501
-8.124038696289063,9
-8.062257766723633,inf
-8.062257766723633,inf
-8.062257766723633,inf
-8.062257766723633,-8
-8.062257766723633,-7.874007701873779
-8.062257766723633,-7.874007701873779
-8.062257766723633,-7.874007701873779
-8.062257766723633,-7.874007701873779
-8.062257766723633,-7.874007701873779
-8.062257766723633,-7.8102498054504395
-8.062257766723633,-7.8102498054504395
-8.062257766723633,-7.8102498054504395
-8.062257766723633,-7.4833149909973145
-8.062257766723633,-7.141428470611572
-8.062257766723633,-6.557438373565674
-8.062257766723633,-6.4031243324279785
-8.062257766723633,-6.324555397033691
-8.062257766723633,-6.082762718200684
-8.062257766723633,-5.916079998016357
-8.062257766723633,-5.74456262588501
-8.062257766723633,-2.2360680103302
-8.062257766723633,-2
-8.062257766723633,-1
-8.062257766723633,-1
-8.062257766723633,-1
-8.062257766723633,1.4142135381698608
-8.062257766723633,3
-8.062257766723633,3.316624879837036
-8.062257766723633,3.316624879837036
-8.062257766723633,3.7416574954986572
-8.062257766723633,4.123105525970459
-8.062257766723633,4.242640495300293
-8.062257766723633,5.656854152679443
-8,inf
-8,-7.874007701873779
-8,-7.348469257354736
-8,-7.211102485656738
-8,-7
-8,1
-8,4
-7.874007701873779,inf
-7.874007701873779,inf
-7.874007701873779,inf
-7.874007701873779,inf
-7.874007701873779,inf
-7.874007701873779,-7.8102498054504395
-7.874007701873779,-7.8102498054504395
-7.874007701873779,-7.8102498054504395
-7.874007701873779,-7.8102498054504395
-7.874007701873779,-7.8102498054504395
-7.874007701873779,-7.8102498054504395
-7.874007701873779,-7.8102498054504395
-7.874007701873779,-7.8102498054504395
-7.874007701873779,-7.8102498054504395
-7.874007701873779,-7.681145668029785
-7.874007701873779,-7.280109882354736
-7.874007701873779,-7.141428470611572
-7.874007701873779,-7
-7.874007701873779,-6.164413928985596
-7.874007701873779,-5.830951690673828
-7.874007701873779,-5.4772257804870605
-7.874007701873779,-5.196152210235596
-7.874007701873779,-4.242640495300293
-7.874007701873779,-2.2360680103302
-7.874007701873779,-2.2360680103302
-7.874007701873779,-1.4142135381698608
-7.874007701873779,-1
-7.874007701873779,1
-7.874007701873779,2.2360680103302
-7.874007701873779,3
-7.874007701873779,5
-7.874007701873779,9.433980941772461
-7.8102498054504395,inf
-7.8102498054504395,-7.681145668029785
-7.8102498054504395,-7.681145668029785
-7.8102498054504395,-7.4833149909973145
-7.8102498054504395,-7.071067810058594
-7.8102498054504395,-6.4031243324279785
-7.8102498054504395,-5.74456262588501
-7.8102498054504395,-5.4772257804870605
-7.8102498054504395,-3.316624879837036
-7.8102498054504395,-3
-7.8102498054504395,-2.2360680103302
-7.8102498054504395,-2.2360680103302
-7.8102498054504395,-2
-7.8102498054504395,-2
-7.8102498054504395,-1
-7.8102498054504395,-1
-7.8102498054504395,2.2360680103302
-7.8102498054504395,3
-7.8102498054504395,3
-7.8102498054504395,3.316624879837036
-7.8102498054504395,3.316624879837036
-7.8102498054504395,3.316624879837036
-7.8102498054504395,4.582575798034668
-7.8102498054504395,5.099019527435303
-7.8102498054504395,7
-7.8102498054504395,7.071067810058594
-7.8102498054504395,7.280109882354736
-7.681145668029785,inf
-7.681145668029785,-7.6157732009887695
-7.681145668029785,-7.6157732009887695
-7.681145668029785,-7.549834251403809
-7.681145668029785,-7.549834251403809
-7.681145668029785,-7.4833149909973145
-7.681145668029785,-7.4833149909973145
-7.681145668029785,-7.348469257354736
-7.681145668029785,-7.348469257354736
-7.681145668029785,-7.071067810058594
-7.681145668029785,-6.7082037925720215
-7.681145668029785,-6.4031243324279785
-7.681145668029785,-6
-7.681145668029785,-5.830951690673828
-7.681145668029785,-5.74456262588501
-7.681145668029785,-5
-7.681145668029785,-2.8284270763397217
-7.681145668029785,-2.4494898319244385
-7.681145668029785,-2.2360680103302
-7.681145668029785,-2
-7.681145668029785,-2
-7.681145668029785,-1
-7.681145668029785,-1
-7.681145668029785,1
-7.681145668029785,1
-7.681145668029785,1.7320507764816284
-7.681145668029785,2.2360680103302
-7.681145668029785,2.4494898319244385
-7.681145668029785,3.464101552963257
-7.681145668029785,5.099019527435303
-7.681145668029785,10.630146026611328
-7.6157732009887695,inf
-7.6157732009887695,inf
-7.6157732009887695,inf
-7.6157732009887695,-7.549834251403809
-7.6157732009887695,-7.549834251403809
-7.6157732009887695,-7.4833149909973145
-7.6157732009887695,-7.4833149909973145
-7.6157732009887695,-7.4833149909973145
-7.6157732009887695,-7.348469257354736
-7.6157732009887695,-7.348469257354736
-7.6157732009887695,-6.78233003616333
-7.6157732009887695,-6.164413928985596
-7.6157732009887695,-6.164413928985596
-7.6157732009887695,-6
-7.6157732009887695,-5.196152210235596
-7.6157732009887695,-3.316624879837036
-7.6157732009887695,-2.8284270763397217
-7.6157732009887695,-2.8284270763397217
-7.6157732009887695,-1.4142135381698608
-7.6157732009887695,-1
-7.6157732009887695,1
-7.6157732009887695,2.2360680103302
-7.6157732009887695,2.2360680103302
-7.6157732009887695,3.1622776985168457
-7.6157732009887695,4.123105525970459
-7.6157732009887695,4.582575798034668
-7.6157732009887695,5.099019527435303
-7.6157732009887695,5.385164737701416
-7.6157732009887695,5.830951690673828
-7.549834251403809,inf
-7.549834251403809,inf
-7.549834251403809,inf
-7.549834251403809,inf
-7.549834251403809,inf
-7.549834251403809,inf
-7.549834251403809,inf
-7.549834251403809,inf
-7.549834251403809,-7.4833149909973145
-7.549834251403809,-7.4833149909973145
-7.549834251403809,-7.4833149909973145
-7.549834251403809,-7.348469257354736
-7.549834251403809,-7.348469257354736
-7.549834251403809,-7.280109882354736
-7.549834251403809,-7.211102485656738
-7.549834251403809,-7.211102485656738
-7.549834251403809,-7.141428470611572
-7.549834251403809,-6.78233003616333
-7.549834251403809,-6.4031243324279785
-7.549834251403809,-6.4031243324279785
-7.549834251403809,-5.830951690673828
-7.549834251403809,-4.690415859222412
-7.549834251403809,-4.582575798034668
-7.549834251403809,-4.242640495300293
-7.549834251403809,-3.605551242828369
-7.549834251403809,-3.316624879837036
-7.549834251403809,-2.8284270763397217
-7.549834251403809,-2.4494898319244385
-7.549834251403809,-2.4494898319244385
-7.549834251403809,-2.4494898319244385
-7.549834251403809,-1.7320507764816284
-7.549834251403809,-1
-7.549834251403809,-1
-7.549834251403809,1
-7.549834251403809,3
-7.549834251403809,3
-7.549834251403809,3.1622776985168457
-7.549834251403809,3.464101552963257
-7.549834251403809,3.7416574954986572
-7.549834251403809,4.123105525970459
-7.549834251403809,4.4721360206604
-7.549834251403809,5
-7.549834251403809,5.099019527435303
-7.549834251403809,5.196152210235596
-7.549834251403809,9.486832618713379
-7.4833149909973145,inf
-7.4833149909973145,inf
-7.4833149909973145,inf
-7.4833149909973145,inf
-7.4833149909973145,-7.348469257354736
-7.4833149909973145,-7.348469257354736
-7.4833149909973145,-7.348469257354736
-7.4833149909973145,-7.348469257354736
-7.4833149909973145,-7.348469257354736
-7.4833149909973145,-7.280109882354736
-7.4833149909973145,-7.071067810058594
-7.4833149909973145,-7.071067810058594
-7.4833149909973145,-6
-7.4833149909973145,-5.916079998016357
-7.4833149909973145,-5.916079998016357
-7.4833149909973145,-5.74456262588501
